,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016104532,2021/11/21,5阪神6,曇,11.0,マイルチャンピオンS(G1),,16.0,6.0,12,1.7,1.0,1,ルメール,55.0,芝1600,良,**,1:32.6,-0.1,**,12-8,35.6-33.3,32.7,506(+2),,,(シュネルマイスター),13344.4
2016104532,2021/10/31,4東京8,曇,11.0,天皇賞(秋)(G1),,16.0,5.0,9,2.8,2.0,3,ルメール,56.0,芝2000,良,**,1:58.1,0.2,**,2-2-2,36.2-33.6,33.8,504(+2),,,エフフォーリア,3848.0
2016104532,2021/06/06,3東京2,曇,11.0,安田記念(G1),,14.0,4.0,5,1.5,1.0,2,ルメール,56.0,芝1600,良,**,1:31.7,0.0,**,11-11,34.9-33.9,32.9,502(+4),,,ダノンキングリー,5285.2
2016104532,2021/05/16,2東京8,曇,11.0,ヴィクトリアマイル(G1),,18.0,3.0,6,1.3,1.0,1,ルメール,55.0,芝1600,良,**,1:31.0,-0.7,**,9-10,34.3-33.4,32.6,498(+2),,,(ランブリングアレー),10882.2
2016104532,2021/04/04,2阪神4,雨,11.0,大阪杯(G1),,13.0,8.0,12,2.8,2.0,4,ルメール,55.0,芝2000,重,**,2:02.5,0.9,**,5-5-5-2,35.6-36.8,37.4,496(-6),,,レイパパレ,2000.0
2016104532,2020/11/22,5阪神6,曇,11.0,マイルチャンピオンS(G1),,17.0,2.0,4,1.6,1.0,1,ルメール,55.0,芝1600,良,**,1:32.0,-0.1,**,5-5,34.9-33.5,33.2,502(-2),,,(インディチャンプ),13357.0
2016104532,2020/10/04,4中山9,曇,11.0,スプリンターズS(G1),,16.0,5.0,10,2.2,1.0,1,ルメール,55.0,芝1200,良,**,1:08.3,-0.3,**,15-15,32.8-35.5,33.6,504(+12),,,(ダノンスマッシュ),13340.2
2016104532,2020/06/07,3東京2,晴,11.0,安田記念(G1),,14.0,7.0,11,12.0,3.0,1,池添謙一,56.0,芝1600,稍,**,1:31.6,-0.4,**,8-7,34.2-34.3,33.7,492(+6),,,(アーモンドアイ),13306.6
2016104532,2020/03/29,1中京8,晴,11.0,高松宮記念(G1),,18.0,4.0,8,4.1,2.0,2,池添謙一,55.0,芝1200,重,**,1:08.7,0.0,**,13-12,34.2-34.5,33.1,486(+12),,,モズスーパーフレア,5312.8
2016104532,2019/12/21,5阪神7,曇,11.0,阪神C(G2),,18.0,3.0,5,2.1,1.0,1,ルメール,54.0,芝1400,良,**,1:19.4,-0.8,**,8-8,33.9-34.2,33.5,474(0),,,(フィアーノロマーノ),6827.4
2016104532,2019/05/05,2東京6,晴,11.0,NHKマイルC(G1),,18.0,4.0,7,1.5,1.0,5(降),ルメール,55.0,芝1600,良,**,1:32.7,0.3,**,4-6,33.9-34.6,34.3,474(-2),,,アドマイヤマーズ,1050.0
2016104532,2019/04/07,2阪神6,晴,11.0,桜花賞(G1),,18.0,4.0,8,3.4,2.0,1,ルメール,55.0,芝1600,良,**,1:32.7,-0.4,**,3-1,35.4-33.3,33.3,476(-6),,,(シゲルピンクダイヤ),12982.9
2016104532,2018/12/16,5阪神6,小雨,11.0,朝日フューチュリティ(G1),,15.0,2.0,2,1.5,1.0,3,ルメール,54.0,芝1600,良,**,1:34.3,0.4,**,2-2,35.3-34.4,34.6,482(+6),,,アドマイヤマーズ,1815.2
2016104532,2018/10/06,4東京1,晴,11.0,サウジアラビアRC(G3),,8.0,4.0,4,1.3,1.0,1,ルメール,54.0,芝1600,良,**,1:34.0,-0.6,**,2-2,36.8-34.1,34.0,476(+18),,,(ドゴール),3329.4
2016104532,2018/06/03,3東京2,晴,5.0,2歳新馬,,15.0,8.0,14,1.8,1.0,1,ルメール,54.0,芝1600,良,**,1:33.6,-0.3,**,3-2,36.0-33.6,33.5,458(0),,,(ダノンファンタジー),700.0
2015104961,2020/11/29,5東京9,曇,12.0,ジャパンC(G1),,15.0,2.0,2,2.2,1.0,1,ルメール,55.0,芝2400,良,**,2:23.0,-0.2,**,4-5-4-4,35.3-37.8,34.7,490(0),,,(コントレイル),30323.4
2015104961,2020/11/01,4東京8,曇,11.0,天皇賞(秋)(G1),,12.0,7.0,9,1.4,1.0,1,ルメール,56.0,芝2000,良,**,1:57.8,-0.1,**,3-3-4,36.5-33.6,33.1,490(+2),,,(フィエールマン),15252.0
2015104961,2020/06/07,3東京2,晴,11.0,安田記念(G1),,14.0,4.0,5,1.3,1.0,2,ルメール,56.0,芝1600,稍,**,1:32.0,0.4,**,11-11,34.2-34.3,33.9,488(+2),,,グランアレグリア,5287.6
2015104961,2020/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,16.0,6.0,12,1.4,1.0,1,ルメール,55.0,芝1600,良,**,1:30.6,-0.7,**,4-4,34.2-33.9,32.9,486(0),,,(サウンドキアラ),10882.2
2015104961,2019/12/22,5中山8,曇,11.0,有馬記念(G1),,16.0,5.0,9,1.5,1.0,9,ルメール,55.0,芝2500,良,**,2:32.3,1.8,**,8-8-7-4,29.4-37.6,36.9,486(+6),,,リスグラシュー,
2015104961,2019/10/27,4東京9,晴,11.0,天皇賞(秋)(G1),,16.0,1.0,2,1.6,1.0,1,ルメール,56.0,芝2000,良,**,1:56.2,-0.5,**,5-6-5,35.7-34.3,33.8,480(-4),,,(ダノンプレミアム),15340.2
2015104961,2019/06/02,3東京2,曇,11.0,安田記念(G1),,16.0,7.0,14,1.7,1.0,3,ルメール,56.0,芝1600,良,**,1:30.9,0.0,**,11-9,34.5-33.9,32.4,484(0),,,インディチャンプ,2848.6
2015104961,2019/03/30,メイダン,晴,,ドバイターフ(G1),,13.0,,7,1.2,1.0,1,ルメール,55.0,芝1800,良,,1:46.78,,,,,,計不,,,(),
2015104961,2018/11/25,5東京8,晴,11.0,ジャパンC(G1),,14.0,1.0,1,1.4,1.0,1,ルメール,53.0,芝2400,良,**,2:20.6,-0.3,**,3-2-2-2,35.9-34.4,34.1,472(-8),,,(キセキ),30302.4
2015104961,2018/10/14,4京都5,晴,11.0,秋華賞(G1),,17.0,6.0,11,1.3,1.0,1,ルメール,55.0,芝2000,良,**,1:58.5,-0.2,**,11-11-11-12,35.7-35.2,33.6,480(+14),,,(ミッキーチャーム),10378.0
2015104961,2018/05/20,2東京10,晴,11.0,優駿牝馬(G1),,17.0,7.0,13,1.7,1.0,1,ルメール,55.0,芝2400,良,**,2:23.8,-0.3,**,6-6-6-5,35.7-34.9,33.2,466(+4),,,(リリーノーブル),13746.1
2015104961,2018/04/08,2阪神6,晴,11.0,桜花賞(G1),,17.0,7.0,13,3.9,2.0,1,ルメール,55.0,芝1600,良,**,1:33.1,-0.3,**,15-16,34.5-34.4,33.2,462(-2),,,(ラッキーライラック),12970.3
2015104961,2018/01/08,1京都3,雨,11.0,日刊スポシンザン記念(G3),,11.0,3.0,3,2.9,1.0,1,戸崎圭太,54.0,芝1600,稍,**,1:37.1,-0.3,**,9-9,35.7-35.3,34.4,464(-2),,,(ツヅミモン),3845.5
2015104961,2017/10/08,4東京2,晴,2.0,2歳未勝利,,15.0,6.0,11,1.2,1.0,1,ルメール,54.0,芝1600,良,**,1:35.1,-0.6,**,7-8,35.2-34.4,33.5,466(-6),,,(コスモフェリーク),500.0
2015104961,2017/08/06,2新潟4,晴,6.0,2歳新馬,,17.0,6.0,12,1.3,1.0,2,ルメール,54.0,芝1400,良,**,1:24.0,0.3,**,11-11,36.6-35.0,34.3,472(0),,,ニシノウララ,280.0
2015104688,2021/12/12,シャティ,,,香港マイル(G1),,11.0,,3,8.9,4.0,5,スミヨン,57.0,芝1600,良,,,,,,,,計不,,,,
2015104688,2021/11/21,5阪神6,曇,11.0,マイルチャンピオンS(G1),,16.0,4.0,7,16.7,6.0,4,福永祐一,57.0,芝1600,良,**,1:32.8,0.2,**,5-5,35.6-33.3,33.2,484(0),,,グランアレグリア,2000.0
