,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2016104532,ディープインパクト 2002 鹿毛 [血統][産駒] Halo系,タピッツフライ Tapitsfly(米) 2007 芦毛 [血統][産駒] FNo.[3-o],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ウインドインハーヘア Wind in Her Hair(愛) 1991 鹿毛 [血統][産駒],Tapit (米) 2001 芦毛 [血統][産駒],Flying Marlin 1999 鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Alzao 1980 鹿毛 [血統][産駒],Burghclere 1977 鹿毛 [血統][産駒],Pulpit 1994 鹿毛 [血統][産駒],Tap Your Heels 1996 芦毛 [血統][産駒],Marlin 1993 鹿毛 [血統][産駒],Morning Dove 1993 鹿毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Lyphard 1969 鹿毛,Lady Rebecca 1971 鹿毛,Busted 1963 栗毛,Highclere 1971 鹿毛,A.P. Indy 1989 黒鹿毛,Preach 1989 鹿毛,Unbridled 1987 鹿毛,Ruby Slippers 1982 芦毛,Sword Dance 1984 鹿毛,Syrian Summer 1984 鹿毛,Fortunate Prospect 1981 黒鹿毛,Pink Dove 1984 栗毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Fappiano,Gana Facil,Nijinsky,Moon Glitter,Nijinsky,Rosa Mundi,Damascus,Special Warmth,Northern Prospect,Fortunate Bid,Argument,Perfect Pigeon
2015104961,ロードカナロア 2008 鹿毛 [血統][産駒] Mr. Prospector系,フサイチパンドラ 2003 栗毛 [血統][産駒] FNo.[8-f],キングカメハメハ 2001 鹿毛 [血統][産駒],レディブラッサム 1996 鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ロッタレース Lotta Lace(米) 1992 栗毛 [血統][産駒],Kingmambo (米) 1990 鹿毛 [血統][産駒],マンファス Manfath(愛) 1991 黒鹿毛 [血統][産駒],Storm Cat (米) 1983 黒鹿毛 [血統][産駒],サラトガデュー Saratoga Dew(米) 1989 鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Nureyev 1977 鹿毛 [血統][産駒],Sex Appeal 1970 栗毛 [血統][産駒],Mr. Prospector 1970 鹿毛,Miesque 1984 鹿毛,ラストタイクーン 1983 黒鹿毛,Pilot Bird 1983 鹿毛,Storm Bird 1978 鹿毛,Terlingua 1976 栗毛,Cormorant 1974 鹿毛,Super Luna 1982 鹿毛,Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Northern Dancer 1961 鹿毛,Special 1969 鹿毛,Buckpasser 1963 鹿毛,Best in Show 1965 栗毛,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Northern Dancer,South Ocean,Secretariat,Crimson Saint,His Majesty,Song Sparrow,In Reality,Alada,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nearctic,Natalma,Forli,Thong,Tom Fool,Busanda,Traffic Judge,Stolen Hour
2015104688,ステイゴールド 1994 黒鹿毛 [血統][産駒] Halo系,ウィルパワー 2007 鹿毛 [血統][産駒] FNo.[3-l],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ゴールデンサッシュ 1988 栗毛 [血統][産駒],キングカメハメハ 2001 鹿毛 [血統][産駒],トキオリアリティー 1994 栗毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],ディクタス Dictus(仏) 1967 栗毛 [血統][産駒],ダイナサッシュ 1979 鹿毛 [血統][産駒],Kingmambo (米) 1990 鹿毛 [血統][産駒],マンファス Manfath(愛) 1991 黒鹿毛 [血統][産駒],Meadowlake 1983 栗毛 [血統][産駒],What a Reality 1978 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Sanctus 1960 黒鹿毛,Doronic 1960 栗毛,ノーザンテースト 1971 栗毛,ロイヤルサッシュ 1966 鹿毛,Mr. Prospector 1970 鹿毛,Miesque 1984 鹿毛,ラストタイクーン 1983 黒鹿毛,Pilot Bird 1983 鹿毛,Hold Your Peace 1969 鹿毛,Suspicious Native 1972 栗毛,In Reality 1964 鹿毛,What Will Be 1970 鹿毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Fine Top,Sanelta,Worden,Dulzetta,Northern Dancer,Lady Victoria,Princely Gift,Sash of Honour,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Speak John,Blue Moon,Raise a Native,Be Suspicious,Intentionally,My Dear Girl,Crozier,Solabar
2015104765,ハービンジャー Harbinger(英) 2006 鹿毛 [血統][産駒] Danzig系,クロノロジスト 2003 芦毛 [血統][産駒] FNo.[20-a],Dansili 1996 黒鹿毛 [血統][産駒],Penang Pearl 1996 鹿毛 [血統][産駒],クロフネ 1998 芦毛 [血統][産駒],インディスユニゾン 1997 青鹿毛 [血統][産駒],デインヒル Danehill(米) 1986 鹿毛 [血統][産駒],Hasili 1991 鹿毛 [血統][産駒],Bering 1983 栗毛 [血統][産駒],Guapa 1988 鹿毛 [血統][産駒],フレンチデピュティ French Deputy(米) 1992 栗毛 [血統][産駒],ブルーアヴェニュー Blue Avenue(米) 1990 芦毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ラスティックベル Rustic Belle(米) 1990 鹿毛 [血統][産駒],Danzig 1977 鹿毛,Razyana 1981 鹿毛,Kahyasi 1985 鹿毛,Kerali 1984 栗毛,Arctic Tern 1973 栗毛,Beaune 1974 栗毛,Shareef Dancer 1980 鹿毛,Sauceboat 1972 鹿毛,Deputy Minister 1979 黒鹿毛,Mitterand 1981 鹿毛,Classic Go Go 1978 黒鹿毛,Eliza Blue 1983 芦毛,Halo 1969 黒鹿毛,Wishing Well 1975 鹿毛,Mr. Prospector 1970 鹿毛,Ragtime Girl 1973 栗毛,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,イルドブルボン,Kadissya,High Line,Sookera,Sea-Bird,Bubbling Beauty,Lyphard,Barbra,Northern Dancer,Sweet Alliance,Connaught,Cranberry Sauce,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raise a Native,Gold Digger,Francis S.,Swinging Doll
2015100344,ディープインパクト 2002 鹿毛 [血統][産駒] Halo系,ケイアイガーベラ 2006 栗毛 [血統][産駒] FNo.[9-e],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ウインドインハーヘア Wind in Her Hair(愛) 1991 鹿毛 [血統][産駒],Smarty Jones 2001 栗毛 [血統][産駒],アンナステルツ Anna Sterz(米) 1996 鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Alzao 1980 鹿毛 [血統][産駒],Burghclere 1977 鹿毛 [血統][産駒],Elusive Quality 1993 鹿毛 [血統][産駒],I'll Get Along 1992 鹿毛 [血統][産駒],Danzig 1977 鹿毛 [血統][産駒],Edge 1978 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Lyphard 1969 鹿毛,Lady Rebecca 1971 鹿毛,Busted 1963 栗毛,Highclere 1971 鹿毛,Gone West 1984 鹿毛,Touch of Greatness 1986 鹿毛,Smile 1982 黒鹿毛,Dont Worry Bout Me 1983 鹿毛,Northern Dancer 1961 鹿毛,Pas de Nom 1968 黒鹿毛,Damascus 1964 鹿毛,Ponte Vecchio 1970 鹿毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Mr. Prospector,Secrettame,Hero's Honor,Ivory Wand,In Reality,Sunny Smile,Foolish Pleasure,Stolen Base,Nearctic,Natalma,Admiral's Voyage,Petitioner,Sword Dancer,Kerala,Round Table,Terentia
2016104422,ダイワメジャー 2001 栗毛 [血統][産駒] Halo系,ヴィアメディチ 2007 栗毛 [血統][産駒] FNo.[4-l],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],スカーレットブーケ 1988 栗毛 [血統][産駒],Medicean 1997 栗毛 [血統][産駒],Via Milano 2001 黒鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],ノーザンテースト Northern Taste(加) 1971 栗毛 [血統][産駒],スカーレットインク Scarlet Ink(米) 1971 栗毛 [血統][産駒],Machiavellian 1987 黒鹿毛 [血統][産駒],Mystic Goddess 1990 栗毛 [血統][産駒],シングスピール Singspiel(愛) 1992 鹿毛 [血統][産駒],Salvinaxia 1993 芦毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Northern Dancer 1961 鹿毛,Lady Victoria 1962 黒鹿毛,Crimson Satan 1959 栗毛,Consentida 1962 鹿毛,Mr. Prospector 1970 鹿毛,Coup de Folie 1982 鹿毛,Storm Bird 1978 鹿毛,Rose Goddess 1979 鹿毛,In the Wings 1986 鹿毛,Glorious Song 1976 鹿毛,Linamix 1987 芦毛,Salve 1982 栗毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nearctic,Natalma,Victoria Park,Lady Angela,Spy Song,Papila,Beau Max,La Menina,Raise a Native,Gold Digger,Halo,Raise the Standard,Northern Dancer,South Ocean,Sassafras,Cocarde,Sadler's Wells,ハイホーク,Halo,Ballade,メンデス,Lunadix,Sallust,Renee Martin
2016102179,ディープインパクト 2002 鹿毛 [血統][産駒] Halo系,マイグッドネス 2005 黒鹿毛 [血統][産駒] FNo.[9],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ウインドインハーヘア Wind in Her Hair(愛) 1991 鹿毛 [血統][産駒],Storm Cat (米) 1983 黒鹿毛 [血統][産駒],Caressing 1998 黒鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Alzao 1980 鹿毛 [血統][産駒],Burghclere 1977 鹿毛 [血統][産駒],Storm Bird 1978 鹿毛 [血統][産駒],Terlingua 1976 栗毛 [血統][産駒],Honour and Glory 1993 鹿毛 [血統][産駒],Lovin Touch 1980 栗毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Lyphard 1969 鹿毛,Lady Rebecca 1971 鹿毛,Busted 1963 栗毛,Highclere 1971 鹿毛,Northern Dancer 1961 鹿毛,South Ocean 1967 鹿毛,Secretariat 1970 栗毛,Crimson Saint 1969 栗毛,Relaunch 1976 芦毛,Fair to All 1986 鹿毛,Majestic Prince 1966 栗毛,Forest Princess 1973 芦毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Nearctic,Natalma,New Providence,Shining Sun,Bold Ruler,Somethingroyal,Crimson Satan,Bolero Rose,In Reality,Foggy Note,Al Nasr,Gonfalon,Raise a Native,Gay Hostess,Fleet Nasrullah,Queen Hostess
2015102377,ロードカナロア 2008 鹿毛 [血統][産駒] Mr. Prospector系,スピニングワイルドキャット Spinning Wildcat(米) 2009 栗毛 [血統][産駒] FNo.[4-r],キングカメハメハ 2001 鹿毛 [血統][産駒],レディブラッサム 1996 鹿毛 [血統][産駒],ハードスパン Hard Spun(米) 2004 鹿毛 [血統][産駒],Hollywood Wildcat 1990 黒鹿毛 [血統][産駒],Kingmambo (米) 1990 鹿毛 [血統][産駒],マンファス Manfath(愛) 1991 黒鹿毛 [血統][産駒],Storm Cat (米) 1983 黒鹿毛 [血統][産駒],サラトガデュー Saratoga Dew(米) 1989 鹿毛 [血統][産駒],Danzig 1977 鹿毛 [血統][産駒],Turkish Tryst 1991 栗毛 [血統][産駒],Kris S. 1977 黒鹿毛 [血統][産駒],Miss Wildcatter 1980 鹿毛 [血統][産駒],Mr. Prospector 1970 鹿毛,Miesque 1984 鹿毛,ラストタイクーン 1983 黒鹿毛,Pilot Bird 1983 鹿毛,Storm Bird 1978 鹿毛,Terlingua 1976 栗毛,Cormorant 1974 鹿毛,Super Luna 1982 鹿毛,Northern Dancer 1961 鹿毛,Pas de Nom 1968 黒鹿毛,Turkoman 1982 黒鹿毛,Darbyvail 1984 栗毛,Roberto 1969 鹿毛,Sharp Queen 1965 鹿毛,Mr. Prospector 1970 鹿毛,Elizabeth K. 1970 鹿毛,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Northern Dancer,South Ocean,Secretariat,Crimson Saint,His Majesty,Song Sparrow,In Reality,Alada,Nearctic,Natalma,Admiral's Voyage,Petitioner,Alydar,Taba,Roberto,Luiana,Hail to Reason,Bramalea,Princequillo,Bridgework,Raise a Native,Gold Digger,Third Martini,Baked Apple
2014105258,ハービンジャー Harbinger(英) 2006 鹿毛 [血統][産駒] Danzig系,オリエントチャーム 2002 鹿毛 [血統][産駒] FNo.[9-h],Dansili 1996 黒鹿毛 [血統][産駒],Penang Pearl 1996 鹿毛 [血統][産駒],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ニキーヤ Nikiya(米) 1993 鹿毛 [血統][産駒],デインヒル Danehill(米) 1986 鹿毛 [血統][産駒],Hasili 1991 鹿毛 [血統][産駒],Bering 1983 栗毛 [血統][産駒],Guapa 1988 鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Nureyev 1977 鹿毛 [血統][産駒],Reluctant Guest 1986 鹿毛 [血統][産駒],Danzig 1977 鹿毛,Razyana 1981 鹿毛,Kahyasi 1985 鹿毛,Kerali 1984 栗毛,Arctic Tern 1973 栗毛,Beaune 1974 栗毛,Shareef Dancer 1980 鹿毛,Sauceboat 1972 鹿毛,Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Northern Dancer 1961 鹿毛,Special 1969 鹿毛,Hostage 1979 鹿毛,Vaguely Royal 1974 黒鹿毛,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,イルドブルボン,Kadissya,High Line,Sookera,Sea-Bird,Bubbling Beauty,Lyphard,Barbra,Northern Dancer,Sweet Alliance,Connaught,Cranberry Sauce,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nearctic,Natalma,Forli,Thong,Nijinsky,Entente,Vaguely Noble,Shoshanna
2016105067,ディープインパクト 2002 鹿毛 [血統][産駒] Halo系,スキア 2007 鹿毛 [血統][産駒] FNo.[1-k],サンデーサイレンス Sunday Silence(米) 1986 青鹿毛 [血統][産駒],ウインドインハーヘア Wind in Her Hair(愛) 1991 鹿毛 [血統][産駒],Motivator 2002 鹿毛 [血統][産駒],Light Quest 2000 鹿毛 [血統][産駒],Halo 1969 黒鹿毛 [血統][産駒],Wishing Well 1975 鹿毛 [血統][産駒],Alzao 1980 鹿毛 [血統][産駒],Burghclere 1977 鹿毛 [血統][産駒],モンジュー Montjeu(愛) 1996 鹿毛 [血統][産駒],Out West 1994 黒鹿毛 [血統][産駒],クエストフォーフェイム Quest for Fame(英) 1987 鹿毛 [血統][産駒],Gleam of Light 1991 鹿毛 [血統][産駒],Hail to Reason 1958 黒鹿毛,Cosmah 1953 鹿毛,Understanding 1963 栗毛,Mountain Flower 1964 鹿毛,Lyphard 1969 鹿毛,Lady Rebecca 1971 鹿毛,Busted 1963 栗毛,Highclere 1971 鹿毛,Sadler's Wells 1981 鹿毛,Floripedes 1985 鹿毛,Gone West 1984 鹿毛,Chellingoua 1983 鹿毛,Rainbow Quest 1981 鹿毛,Aryenne 1977 鹿毛,デインヒル 1986 鹿毛,Gold Runner 1985 鹿毛,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Northern Dancer,Fairy Bridge,Top Ville,Toute Cy,Mr. Prospector,Secrettame,Sharpen Up,Uncommitted,Blushing Groom,I Will Follow,Green Dancer,Americaina,Danzig,Razyana,Runnett,African Doll
