,0,1
0,"[1298143652791771136, 223, 187, '就職総合情報メディアJob Step のTwitterアカウントです。転職面接時に役立つ、最新ニュースをピックアップし紹介。']","[1440288821363441667, '□\u300021卒におすすめな転職エージェント\n\n入社1年目向けの求人募集が豊富な就職エージェントを特集！\n面接対策が充実したものかつ、利用者の定着率が高いもの中心に掲載。\n\n第二新卒20卒19卒で辞めた・辞めたい、フリーターをやめたい、既卒就活やNNTの方もおすすめの内容です\nhttps://t.co/XXZM68gLSW', 0, 0]"
1,"[1322546050234609666, 27, 9, '']","[1440264747287388173, '今回、第二新卒・20代のフリーターに人気が高い転職エージェント特集をしました。\n\n営業以外の事務職等の求人募集が豊富なものを中心に掲載。\n\n就職・就活中、仕事を辞めた21卒・営業を辞めたい、既卒ニート無職をやめたいと考えている方におすすめ。\nhttps://t.co/tT6rEikg9w', 1, 0]"
2,"[1354686787554172931, 31, 18, '']","[1440264735111335949, '◎ 無料相談OK。人気の退職代行サービス特集\n\n会社に行きたくない朝に電話してそのまま辞められる。\n弁護士・労働組合の対応で安全かつ安いものを厳選したので、残業代の未払い請求・迷惑な損害賠償の対応・退職届郵送も可能\nEXIT 仕事をやめたい新卒で辞めたい…方におすすめ\nhttps://t.co/gueX7XMYDW', 1, 0]"
3,"[1320917797686292480, 20, 10, '']","[1440262419918442499, '【厳選】第二新卒の求人募集が豊富な転職エージェント\n\n仕事を辞めた21卒20卒19卒や入社1年目2年目3年目で辞めたい、就職が不安、就活中のフリーター・既卒、ニートをやめたい.方にもおすすめ。\nhttps://t.co/yAYKsRUl8X', 1, 0]"
4,"[1359348459069861889, 15, 16, '']","[1440262342013423621, '（最新版）コロナ禍で第二新卒に人気の転職エージェント一覧\n\n定着率が高く、大手企業などの求人募集が豊富なもののみに絞り掲載しています。\n\nコロナ禍で営業をやめたい1年目2年目3年目・仕事を辞めたい21卒20卒19卒や就活中の既卒フリーターにおすすめです。\nhttps://t.co/s6A1HLW9Gy', 1, 0]"
5,"[1336193072040792069, 14, 19, '情報発信をしています']","[1440262239714349070, '【第二新卒】求人の質が高い転職エージェントまとめ\n\n仕事をやめたい…と考えている方に向けて、今回 定着率が高い転職エージェントの特集記事を作成しました。\n\n辞めたい…けどコロナ禍で不安な21卒20卒19卒、既に辞めた正社員をめざし就活中のフリーターの方にもおすすめ\nhttps://t.co/Ola7iPoTI3', 1, 0]"
6,"[1360821407320399872, 21, 16, 'ふじきく～ん']","[1440259790580555781, '退職代行サービスの選び方&amp;おすすめについて、弁護士を使った対応で安いものを中心にまとめたよ\n\n有給の消化や残業請求もOK◎\n\n会社行きたくない・仕事を辞めたい・営業をやめたい 20代は勿論、21卒20卒19卒の第二新卒でも失敗しないし参考になれば！\nhttps://t.co/gs71pGlkCW', 1, 0]"
7,"[1010182359239426048, 375, 1090, '元公務員ブロガー。県庁に勤めてました?\nブログやnoteでは、\n\n『 #公務員試験 に合格する方法』\n『社会人が #公務員に転職 する方法』\n『公務員の仕事』\n\nなど、公務員に関することを発信しています?\n\nあなたが公務員試験に合格できるよう応援しています?\n\nブログはこちら?']","[1440253341078986756, '新卒のツイッターアカウントが悲惨。\n\n仕事やめたいとか数ヶ月で転職したいとか。\n\n公務員の中途退職率ってめちゃくちゃ低いよ？\n\n#公務員 #公務員試験 #元公務員 #県庁 #市役所 #東京都 #国家公務員 #地方公務員 #公務員になりたい #独学', 0, 0]"
8,"[1340890392237993984, 26, 18, 'くまかわです！アイコンはとんかつ。\n現在、第二新卒で転活してます！\n基本は情報収集用の垢。ときどき自分の完全個人ブログを流してることもあるかも。フォローはお気軽に！！宜しくお願いします！']","[1440249619951222800, '転職活動中の第二新卒が、転職エージェントの特徴・おすすめな選び方をブログにまとめたよ\n\n偏見入ってたらごめん\nコロナ禍で就活中のフリーターや仕事辞めたい21卒20卒19卒、1年目2年目3年目で辞めた・やめたい、無職・ニートの方の就職の参考になれば…!!\nhttps://t.co/uLraXrBAIU', 1, 0]"
9,"[1336504464023306240, 14, 20, '情報発信用アカウントです']","[1440232069523673090, '【目的別！第二新卒おすすめ転職エージェント特集】\n\n今回、若手向け求人募集が豊富で人気の高い就職エージェントをまとめました。\n\n21卒20卒19卒で辞めた・正社員をめざし就活中のフリーターは勿論、コロナ禍で仕事をやめたい…方にもおすすめです。\nhttps://t.co/ssDquPY0Hp', 1, 0]"
